|Run	|Time	|PosX	|PosY
12	1.272e+04	1366	963
12	1.272e+04	1367	963
12	1.272e+04	1368	962
12	1.272e+04	1368	963
12	1.272e+04	1368	963
12	1.272e+04	1369	964
12	1.272e+04	1370	965
12	1.272e+04	1370	965
12	1.272e+04	1370	966
12	1.272e+04	1371	965
12	1.272e+04	1371	964
12	1.273e+04	1371	965
12	1.273e+04	1372	965
12	1.273e+04	1372	965
12	1.273e+04	1373	966
12	1.273e+04	1374	967
12	1.273e+04	1375	967
12	1.273e+04	1376	966
12	1.273e+04	1377	965
12	1.273e+04	1378	966
12	1.274e+04	1379	966
12	1.274e+04	1380	966
12	1.274e+04	1381	966
12	1.274e+04	1382	967
12	1.274e+04	1382	967
12	1.274e+04	1382	967
12	1.274e+04	1382	966
12	1.274e+04	1382	966
12	1.274e+04	1382	967
12	1.274e+04	1382	967
12	1.274e+04	1383	968
12	1.275e+04	1383	969
12	1.275e+04	1383	968
12	1.275e+04	1384	968
12	1.275e+04	1384	969
12	1.275e+04	1385	968
12	1.275e+04	1386	967
12	1.275e+04	1387	968
12	1.275e+04	1388	967
12	1.275e+04	1389	967
12	1.276e+04	1389	967
12	1.276e+04	1390	968
12	1.276e+04	1390	968
12	1.276e+04	1390	969
12	1.276e+04	1391	969
12	1.276e+04	1391	969
12	1.276e+04	1392	969
12	1.276e+04	1393	969
12	1.276e+04	1394	970
12	1.276e+04	1393	970
12	1.276e+04	1393	970
12	1.277e+04	1394	969
12	1.277e+04	1395	970
12	1.277e+04	1396	971
12	1.277e+04	1397	971
12	1.277e+04	1397	970
12	1.277e+04	1398	969
12	1.277e+04	1399	969
12	1.277e+04	1400	968
12	1.277e+04	1400	967
12	1.278e+04	1400	967
12	1.278e+04	1401	966
12	1.278e+04	1402	965
12	1.278e+04	1402	965
12	1.278e+04	1403	965
12	1.278e+04	1403	964
12	1.278e+04	1404	963
12	1.278e+04	1405	963
12	1.278e+04	1405	964
12	1.278e+04	1405	964
12	1.278e+04	1406	963
12	1.279e+04	1407	963
12	1.279e+04	1408	963
12	1.279e+04	1409	964
12	1.279e+04	1410	963
12	1.279e+04	1411	963
12	1.279e+04	1411	963
12	1.279e+04	1411	964
12	1.279e+04	1411	965
12	1.279e+04	1411	965
12	1.28e+04	1411	965
12	1.28e+04	1412	964
12	1.28e+04	1412	965
12	1.28e+04	1412	966
12	1.28e+04	1412	966
12	1.28e+04	1413	966
12	1.28e+04	1413	966
12	1.28e+04	1414	966
12	1.28e+04	1415	967
12	1.28e+04	1415	967
12	1.28e+04	1416	968
12	1.281e+04	1417	968
12	1.281e+04	1417	968
12	1.281e+04	1418	967
12	1.281e+04	1418	968
12	1.281e+04	1419	968
12	1.281e+04	1420	969
12	1.281e+04	1420	970
12	1.281e+04	1421	970
12	1.281e+04	1422	970
12	1.282e+04	1423	970
12	1.282e+04	1424	969
12	1.282e+04	1425	970
12	1.282e+04	1425	970
12	1.282e+04	1424	970
12	1.282e+04	1424	970
12	1.282e+04	1425	970
12	1.282e+04	1425	970
